3012	150                  
3013	234567            
3014      -1                    
3015	2                     
3016	150                  
3017	51250              
3018	3012                      
3019	126000              
3020	4                     
3021	71000              
3022	3043                                                      
3023	51311              
3024	51450             
3025	3013                      
3026	51550             
3027	3015                      
3028	51650              
3029	3014
3030	56750              
3031	3016
3032	53314              
3033	11415              
3034	31416              
3035	21760              
3036	1                      
3037	81700              
3038	3032                   
3039	51250              
3040	3012                      
3041	126000              
3042	5                      
3043	0                      
-1	3017                      
