3082	9
3083	5
3084	51250              
3085	3082                     
3086	126000              
3087	4                     
3088	71000              
3089	3115                 
3090	51311              
3091	51711              
3092	51450              
3093	3083
3094	126000              
3095	8                  
3096	53311              
3097	21460              
3098	1                  
3099	81400              
3100	3094                
3101	51450              
3102	3083
3103	51317              
3104	51133              
3105	126000   
3106	21460         
3107	1             
3108	81700         
3109	3104           
3110	51250         
3111	3082             
3112	51117         
3113	126000         
3114	5             
3115	0             
-1	3084
